YEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FCC,FCHWY,FCCOMB,FCMPG,COE,COR,SMOGR
2019,BMW,330i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,AS8,Z,10.2,7.2,8.8,32,207,6,7
2019,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,10.8,8,9.6,29,225,5,3
2019,HONDA,ACCORD,FULL-SIZE,1.5,4,AV,X,7.9,6.3,7.2,39,168,8,7
2019,HONDA,ACCORD HYBRID,FULL-SIZE,2,4,AV,X,5,5,5,56,117,10,7
2019,HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,AV,X,7.7,6,6.9,41,162,8,3
2019,HONDA,CIVIC HATCHBACK SPORT,FULL-SIZE,1.5,4,AV7,Z,7.9,6.6,7.3,39,170,7,3
2019,HONDA,CIVIC TYPE R,FULL-SIZE,2,4,M6,Z,10.6,8.3,9.6,29,224,5,3
2019,HYUNDAI,ELANTRA GT,FULL-SIZE,1.6,4,AM7,X,9.7,7.4,8.6,33,205,6,5
2019,HYUNDAI,IONIQ,FULL-SIZE,1.6,4,AM6,X,4.3,4.4,4.3,66,104,10,7
2019,HYUNDAI,IONIQ BLUE,FULL-SIZE,1.6,4,AM6,X,4.2,4,4.1,69,96,10,7
2019,HYUNDAI,SONATA,FULL-SIZE,2,4,AS8,X,10.4,7.4,9.1,31,212,5,5
2019,HYUNDAI,SONATA SE,FULL-SIZE,2.4,4,AS6,X,9.2,6.8,8.1,35,190,6,7
2019,KIA,OPTIMA,FULL-SIZE,2,4,AS6,X,11.2,7.9,9.7,29,230,5,5
2019,VOLKSWAGEN,ARTEON,FULL-SIZE,2,4,AS8,Z,10.8,7.5,9.3,30,218,5,3
2019,VOLKSWAGEN,ARTEON 4MOTION,FULL-SIZE,2,4,AS8,Z,12,8.6,10.4,27,244,5,3
2018,BMW,330i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,AS8,Z,10.2,7.2,8.9,32,208,6,7
2018,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,10.9,7.9,9.5,30,224,5,3
2018,HONDA,ACCORD,FULL-SIZE,1.5,4,AV,X,7.9,6.3,7.2,39,168,8,7
2018,HONDA,ACCORD HYBRID,FULL-SIZE,2,4,AV,X,5,5.1,5.1,55,118,10,7
2018,HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,AV,X,7.7,6,6.9,41,162,8,3
2018,HYUNDAI,ELANTRA GT,FULL-SIZE,1.6,4,AM7,X,9.2,7.1,8.3,34,194,6,3
2018,HYUNDAI,KONA,SUV - SMALL,2,4,AS6,X,8.6,7,7.9,36,186,7,5
2018,JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,2.4,4,A9,X,11.4,8.7,10.2,28,239,5,1
2018,KIA,NIRO,STATION WAGON - SMALL,1.6,4,AM6,X,4.6,5.1,4.8,59,114,10,7
2018,KIA,SOUL,STATION WAGON - SMALL,1.6,4,AM7,X,9.1,7.7,8.5,33,199,6,3
2017,BMW,330i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,AS8,Z,10.5,7.4,9.1,31,213,6,8
2017,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,10.9,7.9,9.5,30,224,5,6
2017,HONDA,ACCORD,MID-SIZE,2.4,4,AV7,X,9.2,6.9,8.2,34,190,7,8
2017,HYUNDAI,ELANTRA GT,MID-SIZE,2,4,AS6,X,9.8,7.3,8.7,32,206,6,6
2017,HYUNDAI,SONATA,FULL-SIZE,2,4,AS6,X,10.5,7.6,9.2,31,216,6,6
2017,HYUNDAI,IONIQ,FULL-SIZE,1.6,4,AM6,X,4.3,4.4,4.4,64,103,10,8
2017,INFINITI,Q50 AWD,MID-SIZE,2,4,AS7,Z,10.7,8.4,9.6,29,226,5,6
Default,Default,Default,Default,1.91875,4,Default,Default,8.825,6.85625,7.9375,38.21875,186.3125,6.78125,5.28125
